gene	log2FC	padj	typeReg	Condition
PFDSM3638_RS07645	0.7633155803391366	0.0177249737452267	up	CS1
PFDSM3638_RS07650	0.37599337995813215	0.22160501842679625	not significant	CS1
PFDSM3638_RS07660	0.31444997323770324	0.059680071056991524	not significant	CS1
PFDSM3638_RS07665	0.6775312308305137	9.341864233519916e-7	up	CS1
PFDSM3638_RS07670	-0.2069857526375258	0.2854992979881477	not significant	CS1
PFDSM3638_RS07675	-0.1367039015400413	0.3470169919553079	not significant	CS1
PFDSM3638_RS07680	-0.8691160460682694	2.6193842480769007e-5	down	CS1
PFDSM3638_RS07685	-0.2815387653040533	0.07998360161309301	not significant	CS1
PFDSM3638_RS07690	-0.23012059719828704	0.19808623511548068	not significant	CS1
PFDSM3638_RS07695	-0.02162209202479888	0.9347823378501419	not significant	CS1
PFDSM3638_RS07700	0.09281871533785088	0.7696369196503564	not significant	CS1
PFDSM3638_RS07705	0.3473039154327655	0.256787477993477	not significant	CS1
PFDSM3638_RS07710	0.8232497485365341	4.7380188496877826e-5	up	CS1
PFDSM3638_RS07720	0.8606421470626107	1.9575985115053084e-5	up	CS1
PFDSM3638_RS07725	-0.4454325067274506	0.007175774353257111	down	CS1
PFDSM3638_RS07730	-0.17652250323108762	0.41019574117104995	not significant	CS1
PFDSM3638_RS07735	0.67587027422638	1.5471613838387418e-4	up	CS1
PFDSM3638_RS07740	0.5432721580988025	0.004230332938645021	up	CS1
PFDSM3638_RS07745	-0.39328983934314915	0.018624932782844113	down	CS1
PFDSM3638_RS07750	-0.061822399835504964	0.779656525209706	not significant	CS1
PFDSM3638_RS07755	-0.09096149805649989	0.7049523637833609	not significant	CS1
PFDSM3638_RS07760	0.14230170823049648	0.25485929006520647	not significant	CS1
PFDSM3638_RS07765	0.4891440490428478	0.003109989044314649	up	CS1
PFDSM3638_RS07770	1.0740778102535713	8.965296755301886e-4	up	CS1
PFDSM3638_RS07775	0.7178645861979158	0.002196298836155064	up	CS1
PFDSM3638_RS07780	0.5641561829491939	4.2543228543157616e-4	up	CS1
PFDSM3638_RS07785	0.017129704288745693	0.9216313345198959	not significant	CS1
PFDSM3638_RS07790	-0.19907912683657958	0.42310478264663964	not significant	CS1
PFDSM3638_RS07795	0.4366129839994795	1.246163739698738e-5	up	CS1
PFDSM3638_RS07800	0.7146652175575438	0.010587680378957508	up	CS1
PFDSM3638_RS07805	-0.09931440155686042	0.7425086127846535	not significant	CS1
PFDSM3638_RS07810	0.8487372291734195	4.528940439424177e-5	up	CS1
PFDSM3638_RS07825	-0.08861041712587465	0.4952445766492637	not significant	CS1
